key, count, percentage
6, 30, 0.004290617848970252
7, 19, 0.002717391304347826
8, 38, 0.005434782608695652
9, 490, 0.07008009153318077
10, 715, 0.10225972540045766
11, 806, 0.1152745995423341
12, 463, 0.06621853546910755
13, 568, 0.08123569794050343
14, 492, 0.07036613272311212
15, 337, 0.04819794050343249
16, 306, 0.043764302059496565
17, 132, 0.01887871853546911
18, 461, 0.0659324942791762
19, 364, 0.05205949656750572
20, 224, 0.032036613272311214
21, 134, 0.01916475972540046
22, 122, 0.017448512585812356
23, 81, 0.01158466819221968
24, 117, 0.016733409610983983
25, 124, 0.017734553775743706
26, 95, 0.01358695652173913
27, 32, 0.004576659038901602
28, 16, 0.002288329519450801
29, 10, 0.0014302059496567505
30, 23, 0.003289473684210526
31, 60, 0.008581235697940504
32, 64, 0.009153318077803204
33, 120, 0.017162471395881007
34, 95, 0.01358695652173913
35, 34, 0.004862700228832952
36, 9, 0.0012871853546910755
13.3, 141, 0.020165903890160184
12.3, 222, 0.031750572082379865
11.3, 21, 0.003003432494279176
14.3, 27, 0.0038615560640732267
